parent_sku,child_sku,color_tempratore,end_cap_finish_option
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-WH,3000K,White
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-SL,3000K,Silver
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-BM,3000K,"Black Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-TO,3000K,Tortoise
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-IM,3000K,Ivory
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-WM,3000K,"White Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-WH,3500K,White
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-SL,3500K,Silver
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-BM,3500K,"Black Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-TO,3500K,Tortoise
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-IM,3500K,Ivory
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-WM,3500K,"White Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-WH,"4000K (recommended)",White
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-SL,"4000K (recommended)",Silver
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-BM,"4000K (recommended)","Black Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-TO,"4000K (recommended)",Tortoise
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-IM,"4000K (recommended)",Ivory
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-WM,"4000K (recommended)","White Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-WH,5000K,White
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-SL,5000K,Silver
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-BM,5000K,"Black Marble"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-TO,5000K,Tortoise
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-IM,5000K,Ivory
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-WM,5000K,"White Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WH,3000K,White
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-SL,3000K,Silver
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-BM,3000K,"Black Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-TO,3000K,Tortoise
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-IM,3000K,Ivory
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WM,3000K,"White Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WH,3500K,White
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-SL,3500K,Silver
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-BM,3500K,"Black Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-TO,3500K,Tortoise
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-IM,3500K,Ivory
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WM,3500K,"White Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WH,4000K,White
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-SL,4000K,Silver
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-BM,4000K,"Black Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-TO,4000K,Tortoise
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-IM,4000K,Ivory
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WM,4000K,"White Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WH,5000K,White
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-SL,5000K,Silver
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-BM,5000K,"Black Marble"
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-TO,5000K,Tortoise
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-IM,5000K,Ivory
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WM,5000K,"White Marble"
