parent_sku,child_sku,"Light Distribution Options","Color Temperature (CCT)"
EE-LAP-8,EE-LAP-8-DR-60-835-WH,"Downlight Only",3500K
EE-LAP-8,EE-LAP-8-DR-60-840-WH,"Downlight Only",4000K
EE-LAP-8,EE-LAP-8-IND-66-835-WH,"Direct & Indirect",3500K
EE-LAP-8,EE-LAP-8-IND-66-840-WH,"Direct & Indirect",4000K
EE-LAP-4,EE-LAP-4-DR-30-835-WH,"Downlight Only",3500K
EE-LAP-4,EE-LAP-4-IND-33-835-WH,"Direct & Indirect",3500K
EE-LAP-4,EE-LAP-4-DR-30-840-WH,"Downlight Only",4000K
EE-LAP-4,EE-LAP-4-IND-33-840-WH,"Direct & Indirect",4000K
EE-LAP-8,EE-LAP-8-DR-60-835-WH,"Downlight Only",3500K
EE-LAP-8,EE-LAP-8-DR-60-840-WH,"Downlight Only",4000K
EE-LAP-8,EE-LAP-8-IND-66-835-WH,"Direct & Indirect",3500K
EE-LAP-8,EE-LAP-8-IND-66-840-WH,"Direct & Indirect",4000K
EE-LAP-4,EE-LAP-4-DR-30-835-WH,"Downlight Only",3500K
EE-LAP-4,EE-LAP-4-IND-33-835-WH,"Direct & Indirect",3500K
EE-LAP-4,EE-LAP-4-DR-30-840-WH,"Downlight Only",4000K
EE-LAP-4,EE-LAP-4-IND-33-840-WH,"Direct & Indirect",4000K
