parent_sku,child_sku,"Reflector Finish","Metal Trim Ring Finish"
LT-LEDT-R440,LT-LEDT-R440-HC-WH,"Haze Clear","White Plastic Trim Ring (Standard)"
LT-LEDT-R440,LT-LEDT-R440-HC-WMR,"Haze Clear","White Metal Ring"
LT-LEDT-R440,LT-LEDT-R440-HC-SN,"Haze Clear","Stain Nickel"
LT-LEDT-R440,LT-LEDT-R440-HC-CH,"Haze Clear",Chrome
LT-LEDT-R440,LT-LEDT-R440-HC-SF,"Haze Clear","Polished Self-Flange (for Open or Wall Wash Reflectors ONLY)"
LT-LEDT-R440,LT-LEDT-R440-WP-WH,"White Painted","White Plastic Trim Ring (Standard)"
LT-LEDT-R440,LT-LEDT-R440-WP-WMR,"White Painted","White Metal Ring"
LT-LEDT-R440,LT-LEDT-R440-WP-SN,"White Painted","Stain Nickel"
LT-LEDT-R440,LT-LEDT-R440-WP-CH,"White Painted",Chrome
LT-LEDT-R440,LT-LEDT-R440-WP-SF,"White Painted","Polished Self-Flange (for Open or Wall Wash Reflectors ONLY)"
