parent_sku,child_sku,"Lamp & Ballast Options"
ILP-WCL8-,ILP-WCL8-2T8-PSN,"2 Lamps / Program Start T8 HBN"
ILP-WCL8-,ILP-WCL8-2T8-PSH,"2 Lamps / Program Start T8 HBF"
ILP-WCL8-,ILP-WCL8-4T8-PSN,"4 Lamps / Program Start T8 HBN"
ILP-WCL8-,ILP-WCL8-4T8-PSH,"4 Lamps / Program Start T8 HBF"
ILP-WCL8-,ILP-WCL8-6T8-PSN,"6 Lamps / Program Start T8 HBN"
ILP-WCL8-,ILP-WCL8-6T8-PSH,"6 Lamps / Program Start T8 HBF"
ILP-WCL-,ILP-WCL-1T8-PSN,"1 Lamp / Program Start T8 HBN"
ILP-WCL-,ILP-WCL-1T8-PSH,"1 Lamp / Program Start T8 HBF"
ILP-WCL-,ILP-WCL-2T8-PSN,"2 Lamps / Program Start T8 HBN"
ILP-WCL-,ILP-WCL-2T8-PSH,"2 Lamps / Program Start T8 HBF"
ILP-WCL-,ILP-WCL-3T8-PSN,"3 Lamps / Program Start T8 HBN"
ILP-WCL-,ILP-WCL-3T8-PSH,"3 Lamps / Program Start T8 HBF"
ILP-WCL8,ILP-WCL8-2T8-UR,"2 Lamps / 120-277 T8 NBF"
ILP-WCL8,ILP-WCL8-2T8-UH,"2 Lamps / 120-277 T8 HBF"
ILP-WCL8,ILP-WCL8-4T8-UR,"4 Lamps / 120-277 T8 NBF"
ILP-WCL8,ILP-WCL8-4T8-UH,"4 Lamps / 120-277 T8 HBF"
ILP-WCL8,ILP-WCL8-6T8-UR,"6 Lamps / 120-277 T8 NBF"
ILP-WCL8,ILP-WCL8-6T8-UH,"6 Lamps / 120-277 T8 HBF"
ILP-WCL,ILP-WCL-1T8-UR,"1 Lamp / 120-277 T8 NBF"
ILP-WCL,ILP-WCL-1T8-UH,"1 Lamp / 120-277 T8 HBF"
ILP-WCL,ILP-WCL-2T8-UR,"2 Lamps / 120-277 T8 NBF"
ILP-WCL,ILP-WCL-3T8-UR,"3 Lamps / 120-277 T8 NBF"
ILP-WCL,ILP-WCL-3T8-UH,"3 Lamps / 120-277 T8 HBF"
ILP-WCL,ILP-WCL-2T8--UH,"2 Lamps / 120-277 T8 HBF"
ILP-WT8-,ILP-WT8-2T8-PSN,"2 Lamps / Program Start T8 HBN"
ILP-WT8-,ILP-WT8-2T8-PSH,"2 Lamps / Program Start T8 HBF"
ILP-WT8-,ILP-WT8-4T8-PSN,"4 Lamps / Program Start T8 HBN"
ILP-WT8-,ILP-WT8-4T8-PSH,"4 Lamps / Program Start T8 HBF"
ILP-WT8-,ILP-WT8-6T8-PSN,"6 Lamps / Program Start T8 HBN"
ILP-WT8-,ILP-WT8-6T8-PSH,"6 Lamps / Program Start T8 HBF"
ILP-WT-,ILP-WT--1T8-PSN,"1 Lamp / Program Start T8 HBN"
ILP-WT-,ILP-WT--1T8-PSH,"1 Lamp / Program Start T8 HBF"
ILP-WT-,ILP-WT--2T8-PSN,"2 Lamps / Program Start T8 HBN"
ILP-WT-,ILP-WT--2T8-PSH,"2 Lamps / Program Start T8 HBF"
ILP-WT-,ILP-WT--3T8-PSN,"3 Lamps / Program Start T8 HBN"
ILP-WT-,ILP-WT--3T8-PSH,"3 Lamps / Program Start T8 HBF"
ILP-WT8,ILP-WT8-2T8-UR,"2 Lamps / 120-277V T8 NBF"
ILP-WT8,ILP-WT8-2T8-UH,"2 Lamps / 120-277V T8 HBF"
ILP-WT8,ILP-WT8-4T8-UR,"4 Lamps / 120-277V T8 NBF"
ILP-WT8,ILP-WT8-4T8-UH,"4 Lamps / 120-277V T8 HBF"
ILP-WT8,ILP-WT8-6T8-UR,"6 Lamps / 120-277V T8 NBF"
ILP-WT8,ILP-WT8-6T8-UH,"6 Lamps / 120-277V T8 HBF"
ILP-WT,ILP-WT-1T8-UR,"1 Lamp / 120-277V T8 NBF"
ILP-WT,ILP-WT-1T8-UH,"1 Lamp / 120-277V T8 HBF"
ILP-WT,ILP-WT-2T8-UR,"2 Lamps / 120-277V T8 NBF"
ILP-WT,ILP-WT-2T8-UH,"2 Lamps / 120-277V T8 HBF"
ILP-WT,ILP-WT-3T8-UR,"3 Lamps / 120-277V T8 NBF"
ILP-WT,ILP-WT-3T8-UH,"3 Lamps / 120-277V T8 HBF"
