parent_sku,child_sku,"Letter Color Options"
BL-RELXTE1RCAEM-SDT,BL-RELXTE1RCAEM-SDT-R,Red
BL-RELXTE1RCAEM-SDT,BL-RELXTE1RCAEM-SDT-G,Green
TF-CLPU2,TF-CLPU2-RWRC,Red
TF-CLPU2,TF-CLPU2-GWRC,Green
TF-CXTEU2,TF-CXTEU2-RW,Red
TF-CXTEU2,TF-CXTEU2-GW,Green
TF-WLEZXTEU2,TF-WLEZXTEU2-RGEMCW,Red
TF-WLEZXTEU2,TF-WLEZXTEU2-GGEMCW,Green
TF-WLEZXTEU1,TF-WLEZXTEU1-RGEMCW,Red
TF-WLEZXTEU1,TF-WLEZXTEU1-GGEMCW,Green
TF-RELZXTE2,TF-RELZXTE2-RMAEM,Red
TF-RELZXTE2,TF-RELZXTE2-GMAEM,Green
TF-RELZXTE1,TF-RELZXTE1-RCAEM,Red
TF-RELZXTE1,TF-RELZXTE1-GCAEM,Green
TF-ELXTEU1,TF-ELXTEU1-RCAEM,Red
TF-ELXTEU1,TF-ELXTEU1-GCAEM,Green
TF-KZXTEU1,TF-KZXTEU1-RAEM,Red
TF-KZXTEU1,TF-KZXTEU1-GAEM,Green
TF-EZRXTEU2,TF-EZRXTEU2-RWEM,Red
TF-EZRXTEU2,TF-EZRXTEU2-GWEM,Green
RP-RXL33,RP-RXL33GW,"Green letters w/white mounting plate"
RP-RXL33,RP-RXL33RBA,"Red letters w/brushed aluminum mounting plate"
RP-RXL33,RP-RXL33RW,"Red letters w/white mounting plate"
RP-RXL16,RP-RXL16RBA,"Red Letters"
RP-RXL16,RP-RXL16GBA,"Green Letters"
RP-RXEL40,RP-RXEL40-RW-SD,"Red Letters"
RP-RXEL40,RP-RXEL40-GW-SD,"Green Letters"
RP-RXEL38,RP-RXEL38GW,"Green Letters"
RP-RXEL38,RP-RXEL38RW,"Red Letters"
RP-RXEL24,RP-RXEL24WR,"Red Letters"
RP-RXEL24,RP-RXEL24WG,"Green Letters"
TF-CEU3,TF-CEU3-RW,Red
TF-CEU3,TF-CEU3-GW,Green
TF-CEU3,TF-CEU3-RW,Red
TF-CEU3,TF-CEU3-GW,Green
WM-XT-CLWP,WM-XT-CLWP-RG-EM,Red
WM-XT-CLWP,WM-XT-CLWP-GG-EM,Green
