parent_sku,child_sku,"Round Trim Ring Options"
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BK,Black
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BZ,Bronze
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BN,"Brush Nickel"
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BK,Black
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BZ,Bronze
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BN,"Brush Nickel"
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BK,Black
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BZ,Bronze
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BN,"Brush Nickel"
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BK,Black
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BZ,Bronze
PI-PT-DLSM-R-5I-10W-3CCT,PI-PT-DLSM-R-5I-10W-3CCT-TRR-SM-BN,"Brush Nickel"
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BK,Black
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BZ,Bronze
PI-PT-DLSM-R-7I-15W-3CCT,PI-PT-DLSM-R-7I-15W-3CCT-BN,"Brush Nickel"
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BK,Black
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BZ,Bronze
PI-PT-DLSM-R-9I-18W-3CCT,PI-PT-DLSM-R-9I-18W-3CCT-BN,"Brush Nickel"
