parent_sku,child_sku,End_Cap_Finish_Options
TF-ECLMW217S,TF-ECLMW217S-WH,White
TF-ECLMW217S,TF-ECLMW217S-WM,"White Marble"
TF-ECLMW217S,TF-ECLMW217S-IM,"Ivory Marble"
TF-ECLMW217S,TF-ECLMW217S-BM,"Black Marble"
TF-ECLMW217S,TF-ECLMW217S-SI,Silver
TF-ECLMW217S,TF-ECLMW217S-TO,Tortoise
TF-ECLMW232S,TF-ECLMW232S-WH,White
TF-ECLMW232S,TF-ECLMW232S-WM,"White Marble"
TF-ECLMW232S,TF-ECLMW232S-IM,"Ivory Marble"
TF-ECLMW232S,TF-ECLMW232S-BM,"Black Marble"
TF-ECLMW232S,TF-ECLMW232S-SL,Silver
TF-ECLMW232S,TF-ECLMW232S-TO,Tortoise
TF-ECLMW417S,TF-ECLMW417S-WH,White
TF-ECLMW417S,TF-ECLMW417S-WM,"White Marble"
TF-ECLMW417S,TF-ECLMW417S-IM,"Ivory Marble"
TF-ECLMW417S,TF-ECLMW417S-BM,"Black Marble"
TF-ECLMW417S,TF-ECLMW417S-SI,Silver
TF-ECLMW417S,TF-ECLMW417S-TO,Tortoise
TF-ECLMW432S,TF-ECLMW432S-WH,White
TF-ECLMW432S,TF-ECLMW432S-WM,"White Marble"
TF-ECLMW432S,TF-ECLMW432S-IM,"Ivory Marble"
TF-ECLMW432S,TF-ECLMW432S-BM,"Black Marble"
TF-ECLMW432S,TF-ECLMW432S-SL,Silver
TF-ECLMW432S,TF-ECLMW432S-TO,Tortoise
TF-ECLA217S,TF-ECLA217S-WH,White
TF-ECLA217S,TF-ECLA217S-WM,"White Marble"
TF-ECLA217S,TF-ECLA217S-IM,"Ivory Marble"
TF-ECLA217S,TF-ECLA217S-BM,"Black Marble"
TF-ECLA217S,TF-ECLA217S-SI,Silver
TF-ECLA217S,TF-ECLA217S-TO,Tortoise
TF-ECLA232S,TF-ECLA232S-WH,White
TF-ECLA232S,TF-ECLA232S-WM,"White Marble"
TF-ECLA232S,TF-ECLA232S-IM,"Ivory Marble"
TF-ECLA232S,TF-ECLA232S-BM,"Black Marble"
TF-ECLA232S,TF-ECLA232S-SL,Silver
TF-ECLA232S,TF-ECLA232S-TO,Tortoise
TF-ECLRE417S,TF-ECLRE417S-WH,White
TF-ECLRE417S,TF-ECLRE417S-WM,"White Marble"
TF-ECLRE417S,TF-ECLRE417S-IM,"Ivory Marble"
TF-ECLRE417S,TF-ECLRE417S-BM,"Black Marble"
TF-ECLRE417S,TF-ECLRE417S-SL,Silver
TF-ECLRE417S,TF-ECLRE417S-TO,Tortoise
TF-ECLRE432S,TF-ECLRE432S-WH,White
TF-ECLRE432S,TF-ECLRE432S-WM,"White Marble"
TF-ECLRE432S,TF-ECLRE432S-IM,"Ivory Marble"
TF-ECLRE432S,TF-ECLRE432S-BM,"Black Marble"
TF-ECLRE432S,TF-ECLRE432S-SL,Silver
TF-ECLRE432S,TF-ECLRE432S-TO,Tortoise
